Item,Category,Quantity,Specifications,Recommended Part,Estimated Cost (USD),Notes
Foam Board,Airframe,3,20x30 in,Adams Ready Board,3.75,Main building material
Brushless Motor,Power System,1,2212 1200KV,2212 1200KV Outrunner,15.00,Provides thrust
Electronic Speed Controller (ESC),Power System,1,40A,40A Brushless ESC,18.00,Supports 3S battery
LiPo Battery,Power System,1,3S 2200mAh 30C,XT60 Connector,22.00,Primary power source
Propeller,Power System,1,8x6,APC Style 8x6,3.00,Match motor recommendations
Prop Adapter,Power System,1,M5,Aluminum Prop Adapter,3.00,May be included with motor
9g Servo,Control System,4,Metal Gear Recommended,MG90S,16.00,Ailerons, elevator, rudder
Servo Extension Cable,Control System,2,300mm,JR Style,4.00,May be needed for wing servos
Pushrods,Control System,2,1.2-1.5mm Steel,Adjustable Pushrods,4.00,Control linkages
Control Horns,Control System,3,Plastic,Nylon Horn Set,3.00,Elevator, rudder, ailerons
Clevises,Control System,4,Nylon,Standard RC Clevis,2.00,Connect pushrods
Receiver,Radio System,1,Compatible with transmitter,FlySky Receiver,18.00,Depends on radio
Transmitter,Radio System,1,6+ Channels,FlySky FS-i6X,60.00,Required unless already owned
Carbon Fiber Rod,Structure,2,3x1000mm,Carbon Tube/Rod,8.00,Wing spars
M3 Screws,Hardware,10,Various Lengths,Steel Socket Head,3.00,Motor mount and assembly
M3 Lock Nuts,Hardware,10,Nylon Insert,Steel,2.00,Prevent loosening
Washers,Hardware,10,M3,Steel,1.00,Optional
Velcro Battery Strap,Hardware,2,20x300mm,Hook-and-Loop Strap,4.00,Secure battery
Hook-and-Loop Tape,Hardware,1,Adhesive Backed,Industrial Velcro,5.00,Mount battery and receiver
Heat Shrink Tubing,Electrical,1,Assorted Sizes,Heat Shrink Kit,6.00,Wire protection
XT60 Connectors,Electrical,2,Male/Female Pair,Amass XT60,3.00,Battery connectors
18AWG Silicone Wire,Electrical,1,1m Red/Black,High Strand Count,4.00,Power wiring
Hot Glue Sticks,Consumables,20,Mini or Standard,High Temp,5.00,Assembly
Packing Tape,Consumables,1,Clear,Heavy Duty,3.00,Reinforcement
Colored Tape,Consumables,1,Optional,Duct or Vinyl Tape,5.00,Orientation and decoration
CA Glue (Optional),Consumables,1,Foam Safe,Foam Safe CA,8.00,Quick repairs
Hobby Knife Blades,Tools,10,#11 Blades,X-Acto Compatible,5.00,Replacement blades
