Item,Category,Quantity,Specifications,Recommended Part,Estimated Cost (USD),Notes
Foam Board,Airframe,3,"20 x 30 in",Adams Ready Board,3.75,"Main building material"
Brushless Motor,Power System,1,2212 1200KV,2212 1200KV Outrunner,15.00,"Provides Thrust"
Electronic Speed Controller (ESC),Power System,1,40A,40A Brushless ESC,18.00,"Supports 3S battery"
LiPo Battery,Power System,1,"3S 2200mAh 30C",XT60 Connector,22.00,"Power source"
Propeller,Power System,1,8x6,APC Style 8x6,3.00,"Moves air when spun"
Prop Adapter,Power System,1,M5,Aluminum Prop Adapter,3.00,"May be included with motor"
9g Servo,Control System,4,"Metal Gear Recommended",MG90S,4.00,"Ailerons, Elevator, Rudder"
Servo Extension Cable,Control System,2,300mm,JR Style,2.00,"May be needed for wing servos"
Pushrods,Control System,2,"1.2–1.5 mm Steel",Adjustable Pushrods,4.00,"Control linkages"
Control Horns,Control System,3,Plastic,Nylon Horn Set,3.00,"Elevator, Rudder, Ailerons"
Receiver,Radio System,1,"Compatible with transmitter",FlySky Receiver,18.00,"Depends on radio"
Transmitter,Radio System,1,"6+ Channels",FlySky FS-i6X,60.00,"Required unless already owned"
M3 Screws,Hardware,10,"Various lengths",Steel Socket Head,3.00,"Motor mount and assembly"
M3 Lock Nuts,Hardware,10,"Nylon Insert",Steel,2.00,"Prevent loosening"
Velcro Battery Strap,Hardware,2,"20 × 300 mm",Hook-and-Loop Strap,4.00,"Secure battery"
Hook-and-Loop Tape,Hardware,1,"Adhesive Backed",Industrial Velcro,5.00,"Mount battery and receiver"
Heat Shrink Tubing,Electrical,1,"Assorted Sizes",Heat Shrink Kit,6.00,"Wire protection"
XT60 Connectors,Electrical,2,"Male/Female Pair",Amass XT60,3.00,"Battery connectors"
18AWG Silicone Wire,Electrical,1,"1 m Red/Black","High Strand Count",4.00,"Power wiring"
Hot Glue Sticks,Consumables,20,"Mini or Standard","High Temp",5.00,"Assembly"
Packing Tape,Consumables,1,"Clear, Heavy Duty",Packing Tape,3.00,"Reinforcement"
Duct Tape,Consumables,1,Optional,"Duct or Vinyl Tape",5.00,"Orientation and decoration"
Y Servo Harness,Control System,1,"1 Male to 2 Female JR Servo Splitter",Standard Y-Harness,3.00,"Used to connect two servos to one receiver channel"
Servo Extension Cable,Control System,2,"200 mm JR Extension",JR Servo Extension,2.00,"Extends servo wires for wing-mounted servos"
200 Ω Resistor,Electronics,6,"200 Ω, 1/4 W, ±5%",Carbon Film Resistor,0.10,"Current limiting resistor for RGB LEDs"
Arduino Nano,Electronics,1,"ATmega328P, USB Mini-B",Arduino Nano V3 Compatible,8.00,"Microcontroller for lighting"
RGB LED,Electronics,6,"5 mm Common Cathode RGB LED",Diffused RGB LED,0.50,"Navigation lights "
26 AWG  Wire,Electronics,4,"26 AWG, Silicone Insulated, Roll",26 AWG Silicone Wire,5.00,"General-purpose wiring for electronics"
